model_name,mae,rmse,r2,mape
Linear Regression,0.18437999956916462,0.23088757069672117,0.8357287459639209,4.343808744787445
Ridge Regression,0.18431744260143576,0.23077898565322288,0.8358832212074314,4.34223886239761
Decision Tree,0.23633151953690304,0.30843588968727037,0.706849743965787,5.516510720808408
Random Forest,0.17493358784370475,0.21754101942244564,0.8541713744157156,4.074667178885662
Gradient Boosting,0.1756642898628118,0.21769398824388653,0.8539662170071357,4.1020222820796155
